Vehicle Style,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,highway MPG,city mpg,Popularity,MSRP
4dr SUV,Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,26,19,204,58400
4dr SUV,Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,27,20,204,56400
4dr SUV,Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,43950
4dr SUV,Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,50360
4dr SUV,Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,26,18,204,45950
4dr SUV,Acura,MDX,2017,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,27,20,204,54400
4dr SUV,Acura,RDX,2015,premium unleaded (recommended),273,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,36495
4dr SUV,Acura,RDX,2015,premium unleaded (recommended),273,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,40195
4dr SUV,Acura,RDX,2015,premium unleaded (recommended),273,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,28,20,204,38795
4dr SUV,Acura,RDX,2015,premium unleaded (recommended),273,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,28,20,204,35095
4dr SUV,Acura,RDX,2016,premium unleaded (recommended),279,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,29,20,204,36670
4dr SUV,Acura,RDX,2016,premium unleaded (recommended),279,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,28,19,204,36870
4dr SUV,Acura,RDX,2016,premium unleaded (recommended),279,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,28,19,204,41870
4dr SUV,Acura,RDX,2016,premium unleaded (recommended),279,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,29,20,204,39070
4dr SUV,Acura,RDX,2016,premium unleaded (recommended),279,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,29,20,204,35370
4dr SUV,Acura,RDX,2016,premium unleaded (recommended),279,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,28,19,204,38170
4dr SUV,Acura,RDX,2016,premium unleaded (recommended),279,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,29,20,204,40370
4dr SUV,Acura,RDX,2016,premium unleaded (recommended),279,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,29,20,204,42020
4dr SUV,Acura,RDX,2016,premium unleaded (recommended),279,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,28,19,204,40570
4dr SUV,Acura,RDX,2016,premium unleaded (recommended),279,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,28,19,204,43520
4dr SUV,Acura,RDX,2017,premium unleaded (recommended),279,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,38370
4dr SUV,Acura,RDX,2017,premium unleaded (recommended),279,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,28,20,204,39270
4dr SUV,Acura,RDX,2017,premium unleaded (recommended),279,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,28,20,204,42220
4dr SUV,Acura,RDX,2017,premium unleaded (recommended),279,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,42070
4dr SUV,Acura,RDX,2017,premium unleaded (recommended),279,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,28,20,204,36870
4dr SUV,Acura,RDX,2017,premium unleaded (recommended),279,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,37070
4dr SUV,Acura,RDX,2017,premium unleaded (recommended),279,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,43720
4dr SUV,Acura,RDX,2017,premium unleaded (recommended),279,6,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,27,19,204,40770
4dr SUV,Acura,RDX,2017,premium unleaded (recommended),279,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,28,20,204,40570
4dr SUV,Acura,RDX,2017,premium unleaded (recommended),279,6,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,28,20,204,35570
Coupe,Acura,NSX,2004,regular unleaded,290,6,MANUAL,rear wheel drive,2,"Exotic,Luxury,High-Performance",Compact,22,16,204,89000
Coupe,Acura,NSX,2004,regular unleaded,252,6,AUTOMATIC,rear wheel drive,2,"Exotic,Luxury,High-Performance",Compact,22,16,204,89000
Coupe,Acura,NSX,2005,regular unleaded,290,6,MANUAL,rear wheel drive,2,"Exotic,Luxury,High-Performance",Compact,22,16,204,89000
Coupe,Acura,NSX,2005,regular unleaded,252,6,AUTOMATIC,rear wheel drive,2,"Exotic,Luxury,High-Performance",Compact,22,16,204,89000
Coupe,Acura,NSX,2017,premium unleaded (required),573,6,AUTOMATED_MANUAL,all wheel drive,2,"Exotic,Luxury,High-Performance,Hybrid",Compact,22,21,204,156000
Coupe,Acura,CL,2003,premium unleaded (required),260,6,MANUAL,front wheel drive,2,"Factory Tuner,Luxury,Performance",Midsize,26,17,204,32700
Coupe,Acura,CL,2003,premium unleaded (required),260,6,AUTOMATIC,front wheel drive,2,"Factory Tuner,Luxury,Performance",Midsize,27,17,204,30550
Coupe,Acura,CL,2003,premium unleaded (required),260,6,MANUAL,front wheel drive,2,"Factory Tuner,Luxury,Performance",Midsize,26,17,204,30550
2dr Hatchback,Acura,Integra,2000,regular unleaded,195,4,MANUAL,front wheel drive,2,"Hatchback,Factory Tuner,Luxury,Performance",Compact,28,22,204,7398
2dr Hatchback,Acura,Integra,2001,premium unleaded (required),195,4,MANUAL,front wheel drive,2,"Hatchback,Factory Tuner,Luxury,Performance",Compact,28,22,204,24450
2dr Hatchback,Acura,RSX,2004,premium unleaded (required),200,4,MANUAL,front wheel drive,2,"Hatchback,Factory Tuner,Luxury,Performance",Compact,28,21,204,23320
2dr Hatchback,Acura,RSX,2005,premium unleaded (required),210,4,MANUAL,front wheel drive,2,"Hatchback,Factory Tuner,Luxury,Performance",Compact,28,20,204,23670
2dr Hatchback,Acura,RSX,2006,premium unleaded (required),201,4,MANUAL,front wheel drive,2,"Hatchback,Factory Tuner,Luxury,Performance",Compact,28,20,204,23845
2dr Hatchback,Acura,Integra,1999,regular unleaded,140,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,29,22,204,2912
2dr Hatchback,Acura,Integra,1999,regular unleaded,140,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,29,22,204,2799
2dr Hatchback,Acura,Integra,2000,regular unleaded,140,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,28,22,204,3130
2dr Hatchback,Acura,Integra,2000,regular unleaded,140,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,28,22,204,3086
2dr Hatchback,Acura,Integra,2001,regular unleaded,140,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,28,22,204,21050
2dr Hatchback,Acura,Integra,2001,regular unleaded,140,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,28,22,204,19400
2dr Hatchback,Acura,Integra,2001,regular unleaded,140,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury",Compact,28,21,204,20200
2dr Hatchback,Acura,Integra,2001,regular unleaded,140,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury",Compact,28,21,204,21850
2dr Hatchback,Acura,RSX,2006,regular unleaded,155,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,31,24,204,20325
2dr Hatchback,Acura,RSX,2006,regular unleaded,155,4,MANUAL,front wheel drive,2,"Hatchback,Luxury",Compact,31,24,204,21475
2dr Hatchback,Acura,RSX,2006,regular unleaded,155,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury",Compact,31,22,204,21225
2dr Hatchback,Acura,RSX,2006,regular unleaded,155,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury",Compact,31,22,204,22375
2dr Hatchback,Acura,Integra,1999,regular unleaded,170,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,28,22,204,3355
2dr Hatchback,Acura,Integra,2000,regular unleaded,170,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,28,22,204,3652
2dr Hatchback,Acura,Integra,2001,premium unleaded (required),170,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,28,22,204,22300
2dr Hatchback,Acura,RSX,2004,regular unleaded,160,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,30,24,204,21100
2dr Hatchback,Acura,RSX,2004,regular unleaded,160,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,30,24,204,20025
2dr Hatchback,Acura,RSX,2004,regular unleaded,160,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,31,22,204,22000
2dr Hatchback,Acura,RSX,2004,regular unleaded,160,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,31,22,204,20925
2dr Hatchback,Acura,RSX,2005,regular unleaded,160,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,31,24,204,20275
2dr Hatchback,Acura,RSX,2005,regular unleaded,160,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,31,22,204,22250
2dr Hatchback,Acura,RSX,2005,regular unleaded,160,4,AUTOMATIC,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,31,22,204,21175
2dr Hatchback,Acura,RSX,2005,regular unleaded,160,4,MANUAL,front wheel drive,2,"Hatchback,Luxury,Performance",Compact,31,24,204,21350
Coupe,Acura,CL,2001,premium unleaded (required),225,6,AUTOMATIC,front wheel drive,2,Luxury,Midsize,27,17,204,29980
Coupe,Acura,CL,2001,premium unleaded (required),225,6,AUTOMATIC,front wheel drive,2,Luxury,Midsize,27,17,204,27980
Coupe,Acura,CL,2002,premium unleaded (required),225,6,AUTOMATIC,front wheel drive,2,Luxury,Midsize,27,17,204,28030
Coupe,Acura,CL,2002,premium unleaded (required),225,6,AUTOMATIC,front wheel drive,2,Luxury,Midsize,27,17,204,30030
Coupe,Acura,CL,2003,premium unleaded (required),225,6,AUTOMATIC,front wheel drive,2,Luxury,Midsize,27,17,204,30350
Coupe,Acura,CL,2003,premium unleaded (required),225,6,AUTOMATIC,front wheel drive,2,Luxury,Midsize,27,17,204,28200
Sedan,Acura,ILX,2015,premium unleaded (recommended),150,4,AUTOMATIC,front wheel drive,4,Luxury,Compact,35,24,204,31750
Sedan,Acura,ILX,2015,premium unleaded (recommended),150,4,AUTOMATIC,front wheel drive,4,Luxury,Compact,35,24,204,29350
Sedan,Acura,ILX,2015,premium unleaded (recommended),150,4,AUTOMATIC,front wheel drive,4,Luxury,Compact,35,24,204,27050
Sedan,Acura,ILX,2016,premium unleaded (recommended),201,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,36,25,204,34890
Sedan,Acura,ILX,2016,premium unleaded (recommended),201,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,36,25,204,29900
Sedan,Acura,ILX,2016,premium unleaded (recommended),201,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,36,25,204,29200
Sedan,Acura,ILX,2016,premium unleaded (recommended),201,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,36,25,204,31890
Sedan,Acura,ILX,2016,premium unleaded (recommended),201,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,36,25,204,32900
Sedan,Acura,ILX,2016,premium unleaded (recommended),201,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,36,25,204,27900
Sedan,Acura,ILX,2017,premium unleaded (recommended),201,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,35,25,204,32990
Sedan,Acura,ILX,2017,premium unleaded (recommended),201,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,35,25,204,29290
Sedan,Acura,ILX,2017,premium unleaded (recommended),201,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,35,25,204,31980
Sedan,Acura,ILX,2017,premium unleaded (recommended),201,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,35,25,204,34980
Sedan,Acura,ILX,2017,premium unleaded (recommended),201,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,35,25,204,27990
Sedan,Acura,ILX,2017,premium unleaded (recommended),201,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,35,25,204,29990
Sedan,Acura,Integra,1999,regular unleaded,140,4,MANUAL,front wheel drive,4,Luxury,Compact,29,22,204,2827
Sedan,Acura,Integra,1999,regular unleaded,140,4,MANUAL,front wheel drive,4,Luxury,Compact,29,22,204,3000
Sedan,Acura,Integra,2000,regular unleaded,140,4,MANUAL,front wheel drive,4,Luxury,Compact,28,22,204,3012
Sedan,Acura,Integra,2000,regular unleaded,140,4,MANUAL,front wheel drive,4,Luxury,Compact,28,22,204,3222
Sedan,Acura,Integra,2001,regular unleaded,140,4,MANUAL,front wheel drive,4,Luxury,Compact,28,22,204,21600
Sedan,Acura,Integra,2001,regular unleaded,140,4,AUTOMATIC,front wheel drive,4,Luxury,Compact,28,21,204,21000
Sedan,Acura,Integra,2001,regular unleaded,140,4,AUTOMATIC,front wheel drive,4,Luxury,Compact,28,21,204,22400
Sedan,Acura,Integra,2001,regular unleaded,140,4,MANUAL,front wheel drive,4,Luxury,Compact,28,22,204,20200
Sedan,Acura,Legend,1993,regular unleaded,200,6,MANUAL,front wheel drive,4,Luxury,Midsize,23,15,204,2000
Sedan,Acura,Legend,1993,regular unleaded,200,6,MANUAL,front wheel drive,4,Luxury,Midsize,23,16,204,2060
Sedan,Acura,Legend,1993,regular unleaded,200,6,MANUAL,front wheel drive,4,Luxury,Midsize,23,16,204,2000
Sedan,Acura,Legend,1994,regular unleaded,200,6,MANUAL,front wheel drive,4,Luxury,Midsize,23,16,204,2028
Sedan,Acura,Legend,1994,regular unleaded,200,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,22,17,204,2063
Sedan,Acura,Legend,1995,regular unleaded,200,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,22,17,204,2356
Sedan,Acura,Legend,1995,regular unleaded,200,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,22,17,204,2144
Sedan,Acura,Legend,1995,regular unleaded,200,6,MANUAL,front wheel drive,4,Luxury,Midsize,23,16,204,2135
4dr SUV,Acura,SLX,1997,regular unleaded,190,6,AUTOMATIC,four wheel drive,4,Luxury,Midsize,17,13,204,2397
4dr SUV,Acura,SLX,1997,regular unleaded,190,6,AUTOMATIC,four wheel drive,4,Luxury,Midsize,17,13,204,2488
4dr SUV,Acura,SLX,1998,regular unleaded,215,6,AUTOMATIC,four wheel drive,4,Luxury,Midsize,18,13,204,2816
4dr SUV,Acura,SLX,1999,regular unleaded,215,6,AUTOMATIC,four wheel drive,4,Luxury,Midsize,18,13,204,2934
Sedan,Acura,TL,2012,premium unleaded (required),280,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,29,20,204,35705
Sedan,Acura,TL,2012,premium unleaded (required),280,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,29,20,204,39435
Sedan,Acura,TL,2013,premium unleaded (recommended),280,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,29,20,204,35905
Sedan,Acura,TL,2014,premium unleaded (recommended),280,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,29,20,204,36030
Sedan,Acura,TLX,2015,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,31,21,204,41575
Sedan,Acura,TLX,2015,premium unleaded (recommended),206,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Midsize,35,24,204,35500
Sedan,Acura,TLX,2015,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,34,21,204,42600
Sedan,Acura,TLX,2015,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,34,21,204,39375
Sedan,Acura,TLX,2015,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,31,21,204,44800
Sedan,Acura,TLX,2015,premium unleaded (recommended),206,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Midsize,35,24,204,31445
Sedan,Acura,TLX,2015,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,34,21,204,35320
Sedan,Acura,TLX,2016,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,31,21,204,41575
Sedan,Acura,TLX,2016,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,34,21,204,35320
Sedan,Acura,TLX,2016,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,34,21,204,42600
Sedan,Acura,TLX,2016,premium unleaded (recommended),206,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Midsize,35,24,204,35750
Sedan,Acura,TLX,2016,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,31,21,204,44800
Sedan,Acura,TLX,2016,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,34,21,204,39375
Sedan,Acura,TLX,2016,premium unleaded (recommended),206,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Midsize,35,24,204,31695
Sedan,Acura,TLX,2017,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,34,21,204,42600
Sedan,Acura,TLX,2017,premium unleaded (recommended),206,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Midsize,35,24,204,35950
Sedan,Acura,TLX,2017,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,31,21,204,44800
Sedan,Acura,TLX,2017,premium unleaded (recommended),206,4,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Midsize,35,24,204,31900
Sedan,Acura,TLX,2017,premium unleaded (recommended),290,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,31,21,204,41600
Sedan,Acura,TLX,2017,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,34,21,204,39400
Sedan,Acura,TLX,2017,premium unleaded (recommended),290,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,34,21,204,35350
Wagon,Acura,TSX Sport Wagon,2012,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,30,22,204,35010
Wagon,Acura,TSX Sport Wagon,2012,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,30,22,204,31360
Wagon,Acura,TSX Sport Wagon,2013,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,30,22,204,35510
Wagon,Acura,TSX Sport Wagon,2013,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,30,22,204,31860
Wagon,Acura,TSX Sport Wagon,2014,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,30,22,204,35635
Wagon,Acura,TSX Sport Wagon,2014,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,30,22,204,31985
Sedan,Acura,TSX,2012,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,31,22,204,30010
Sedan,Acura,TSX,2012,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,31,22,204,33110
Sedan,Acura,TSX,2012,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,31,22,204,31010
Sedan,Acura,TSX,2012,premium unleaded (recommended),201,4,MANUAL,front wheel drive,4,Luxury,Midsize,29,21,204,31010
Sedan,Acura,TSX,2013,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,31,22,204,30510
Sedan,Acura,TSX,2013,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,31,22,204,31510
Sedan,Acura,TSX,2013,premium unleaded (recommended),201,4,MANUAL,front wheel drive,4,Luxury,Midsize,29,21,204,31510
Sedan,Acura,TSX,2013,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,31,22,204,33610
Sedan,Acura,TSX,2014,premium unleaded (recommended),201,4,MANUAL,front wheel drive,4,Luxury,Midsize,29,21,204,31635
Sedan,Acura,TSX,2014,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,31,22,204,30635
Sedan,Acura,TSX,2014,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,31,22,204,33735
Sedan,Acura,TSX,2014,premium unleaded (recommended),201,4,AUTOMATIC,front wheel drive,4,Luxury,Midsize,31,22,204,31635
Sedan,Acura,Vigor,1992,regular unleaded,176,5,MANUAL,front wheel drive,4,Luxury,Midsize,24,18,204,2000
Sedan,Acura,Vigor,1992,regular unleaded,176,5,MANUAL,front wheel drive,4,Luxury,Midsize,24,18,204,2000
Sedan,Acura,Vigor,1993,regular unleaded,176,5,MANUAL,front wheel drive,4,Luxury,Midsize,24,18,204,2000
Sedan,Acura,Vigor,1993,regular unleaded,176,5,MANUAL,front wheel drive,4,Luxury,Midsize,24,18,204,2000
Sedan,Acura,Vigor,1994,regular unleaded,176,5,MANUAL,front wheel drive,4,Luxury,Midsize,24,18,204,2000
Sedan,Acura,Vigor,1994,regular unleaded,176,5,MANUAL,front wheel drive,4,Luxury,Midsize,24,18,204,2000
